enrollment_id,attendance_date,status
3983,2025-03-18,Present
633,2025-04-15,Present
4494,2025-04-18,Absent
4142,2025-09-15,Present
3566,2025-03-05,Absent
2892,2025-01-03,Present
1335,2025-05-29,Present
1673,2025-01-29,Absent
3220,2025-01-22,Absent
3505,2025-07-04,Present
3181,2025-07-21,Present
1549,2025-02-12,Absent
1706,2025-03-21,Absent
947,2025-04-20,Absent
438,2025-09-21,Present
3696,2025-04-04,Absent
1971,2025-10-10,Absent
4414,2025-09-04,Present
3021,2025-06-23,Absent
2329,2025-02-27,Present
4714,2025-06-04,Present
1975,2025-06-02,Present
3111,2025-08-16,Absent
2536,2025-09-06,Present
3719,2025-03-16,Absent
1846,2025-07-30,Absent
3801,2025-10-23,Absent
2471,2025-04-19,Absent
2729,2025-10-18,Absent
2336,2025-06-25,Present
2859,2025-09-04,Present
2387,2025-08-09,Present
496,2025-06-20,Present
3215,2025-10-24,Present
1936,2025-03-17,Absent
3840,2025-09-10,Absent
2292,2025-08-21,Absent
3026,2025-03-28,Absent
3777,2025-10-24,Present
4372,2025-11-01,Absent
261,2025-02-18,Present
186,2025-10-17,Absent
2590,2025-01-11,Absent
3648,2025-05-27,Present
493,2025-05-29,Present
4519,2025-04-22,Absent
1927,2025-03-27,Absent
992,2025-04-15,Absent
4071,2025-08-25,Absent
1029,2025-01-11,Absent
4867,2025-09-02,Absent
2726,2025-08-13,Absent
1727,2025-03-28,Absent
3438,2025-10-02,Present
1916,2025-03-05,Absent
3620,2025-03-01,Present
3692,2025-10-12,Absent
642,2025-06-02,Absent
3005,2025-06-19,Absent
351,2025-10-07,Absent
4668,2025-06-05,Present
2711,2025-10-01,Absent
1196,2025-04-10,Absent
3250,2025-05-09,Present
2948,2025-08-14,Present
3575,2025-09-15,Absent
2544,2025-02-03,Present
3281,2025-09-20,Absent
494,2025-07-02,Absent
3948,2025-09-11,Present
4821,2025-05-08,Present
1143,2025-02-19,Present
1263,2025-05-03,Present
4072,2025-06-23,Absent
952,2025-02-13,Present
1199,2025-09-14,Present
698,2025-07-19,Present
4486,2025-07-26,Absent
4515,2025-02-27,Absent
1289,2025-06-29,Present
2787,2025-05-26,Present
1871,2025-10-14,Present
476,2025-07-17,Present
3778,2025-08-17,Present
1865,2025-09-02,Absent
4939,2025-08-08,Present
3860,2025-08-22,Present
4063,2025-10-26,Present
404,2025-01-22,Present
2913,2025-07-10,Absent
867,2025-06-03,Absent
2099,2025-10-10,Absent
1718,2025-02-10,Present
615,2025-10-15,Absent
3979,2025-05-09,Absent
1796,2025-06-02,Present
1891,2025-08-04,Absent
3730,2025-05-07,Present
4740,2025-06-01,Present
2316,2025-05-02,Present
771,2025-01-23,Present
3821,2025-06-26,Present
3739,2025-08-12,Present
2416,2025-03-02,Absent
941,2025-01-25,Present
775,2025-03-26,Absent
1069,2025-03-20,Absent
4183,2025-09-17,Absent
2667,2025-07-01,Present
514,2025-01-24,Absent
1257,2025-09-09,Present
1782,2025-08-12,Present
3330,2025-06-24,Present
1214,2025-02-01,Present
219,2025-08-06,Present
4397,2025-04-19,Present
4341,2025-02-19,Absent
380,2025-02-28,Absent
3172,2025-09-03,Absent
1231,2025-04-14,Absent
2670,2025-06-19,Absent
3976,2025-09-27,Absent
1506,2025-05-07,Present
1013,2025-04-28,Absent
1989,2025-10-07,Absent
749,2025-08-30,Absent
528,2025-06-27,Absent
4302,2025-02-04,Absent
3712,2025-03-17,Absent
4906,2025-07-29,Absent
3860,2025-05-07,Present
940,2025-11-06,Absent
4330,2025-01-02,Absent
4748,2025-07-14,Present
2447,2025-11-09,Absent
2921,2025-09-11,Absent
977,2025-01-01,Present
4799,2025-05-30,Absent
642,2025-03-18,Absent
2559,2025-04-15,Absent
3530,2025-05-09,Present
837,2025-02-04,Present
3186,2025-05-24,Absent
3447,2025-09-16,Absent
1841,2025-05-14,Absent
1325,2025-05-08,Absent
3265,2025-08-13,Absent
4919,2025-03-19,Absent
1902,2025-07-14,Present
2916,2025-05-07,Present
1994,2025-10-23,Absent
4522,2025-10-01,Present
290,2025-07-13,Present
1658,2025-05-30,Present
1319,2025-01-11,Absent
2915,2025-04-11,Absent
2690,2025-03-22,Present
836,2025-03-18,Present
1322,2025-06-20,Present
2922,2025-09-19,Present
1661,2025-04-01,Absent
314,2025-08-21,Absent
4968,2025-02-05,Present
3796,2025-04-10,Present
2988,2025-01-15,Present
4731,2025-05-27,Present
4736,2025-01-07,Present
2410,2025-07-16,Absent
2287,2025-09-23,Absent
3718,2025-08-08,Present
1743,2025-07-14,Absent
4075,2025-05-12,Absent
1217,2025-07-25,Absent
3602,2025-04-11,Absent
2760,2025-08-22,Absent
491,2025-10-29,Absent
55,2025-04-06,Absent
3031,2025-05-30,Present
156,2025-09-27,Absent
3984,2025-01-16,Absent
292,2025-04-24,Present
4633,2025-02-17,Present
1776,2025-01-04,Present
682,2025-01-04,Present
27,2025-01-06,Absent
3225,2025-06-22,Absent
2217,2025-06-23,Absent
908,2025-03-22,Present
2133,2025-05-27,Present
2490,2025-01-11,Present
1240,2025-08-29,Absent
2616,2025-06-18,Present
4969,2025-11-03,Absent
1396,2025-03-15,Present
2485,2025-09-15,Absent
3218,2025-01-31,Present
1706,2025-03-12,Absent
3332,2025-07-16,Absent
3901,2025-10-10,Present
4598,2025-05-31,Present
1367,2025-04-23,Absent
3793,2025-09-18,Present
1955,2025-10-02,Absent
12,2025-03-29,Absent
1673,2025-03-21,Present
142,2025-10-31,Absent
4456,2025-08-08,Absent
2399,2025-04-19,Present
2406,2025-04-03,Present
863,2025-03-14,Present
411,2025-06-02,Present
1774,2025-04-30,Absent
4162,2025-03-02,Present
74,2025-02-12,Present
3861,2025-01-04,Present
1295,2025-07-30,Present
565,2025-07-22,Present
4047,2025-06-16,Present
354,2025-05-31,Present
634,2025-03-29,Absent
1771,2025-06-02,Absent
3833,2025-03-13,Absent
491,2025-05-14,Absent
4920,2025-03-08,Present
4685,2025-03-02,Present
1248,2025-03-28,Absent
1530,2025-04-14,Present
4287,2025-08-04,Present
2776,2025-04-06,Present
809,2025-03-15,Absent
136,2025-03-26,Absent
4454,2025-07-15,Absent
163,2025-06-15,Absent
3372,2025-05-07,Absent
4310,2025-03-08,Present
2229,2025-07-23,Absent
3965,2025-04-18,Present
1690,2025-08-04,Absent
224,2025-04-23,Absent
2751,2025-10-14,Present
3087,2025-07-09,Present
3733,2025-01-14,Present
3979,2025-10-14,Present
1969,2025-04-08,Present
329,2025-01-26,Present
944,2025-10-28,Present
720,2025-02-13,Absent
1850,2025-01-25,Present
4822,2025-07-01,Present
1808,2025-09-18,Absent
2861,2025-03-11,Present
563,2025-10-03,Present
2151,2025-08-31,Present
357,2025-10-28,Present
2947,2025-01-11,Present
1991,2025-09-16,Absent
1825,2025-10-21,Absent
3339,2025-06-05,Present
405,2025-09-15,Present
4355,2025-07-23,Present
3229,2025-04-01,Present
1410,2025-04-16,Present
3187,2025-03-03,Present
1234,2025-07-08,Absent
4597,2025-10-23,Absent
247,2025-08-15,Absent
831,2025-01-05,Present
116,2025-02-16,Present
3741,2025-03-03,Present
1082,2025-04-06,Absent
4313,2025-03-17,Present
995,2025-10-28,Absent
2633,2025-10-10,Absent
3838,2025-03-14,Present
1604,2025-05-06,Absent
777,2025-09-21,Present
1900,2025-02-05,Absent
3896,2025-04-21,Absent
3631,2025-04-21,Absent
579,2025-08-30,Present
486,2025-04-28,Present
4058,2025-04-20,Absent
513,2025-05-01,Absent
2025,2025-10-06,Present
2403,2025-07-15,Present
333,2025-10-01,Absent
1758,2025-05-27,Present
2300,2025-07-15,Absent
517,2025-10-16,Absent
3358,2025-10-06,Absent
2103,2025-05-19,Absent
3184,2025-03-12,Present
4008,2025-11-04,Absent
4038,2025-06-19,Absent
1091,2025-03-09,Absent
3965,2025-03-28,Absent
3431,2025-02-09,Absent
3609,2025-10-05,Present
1283,2025-03-27,Present
1469,2025-11-06,Absent
4999,2025-09-03,Absent
1701,2025-04-22,Present
4594,2025-06-23,Present
1622,2025-06-16,Absent
3488,2025-06-02,Absent
3285,2025-07-01,Absent
1657,2025-06-17,Absent
4485,2025-02-16,Present
3947,2025-09-08,Absent
2044,2025-10-15,Present
152,2025-01-12,Present
4723,2025-07-16,Absent
4970,2025-08-03,Absent
3673,2025-04-23,Absent
3298,2025-01-05,Present
4459,2025-08-31,Present
4510,2025-09-13,Absent
3932,2025-10-07,Absent
3898,2025-02-26,Present
3242,2025-05-18,Present
221,2025-02-25,Absent
1435,2025-09-10,Present
704,2025-09-26,Present
2096,2025-10-11,Absent
4145,2025-11-07,Present
1912,2025-07-05,Present
452,2025-11-09,Absent
3202,2025-08-05,Present
545,2025-02-23,Present
3136,2025-04-27,Absent
1826,2025-01-28,Present
1660,2025-01-09,Present
2123,2025-09-21,Absent
2956,2025-08-25,Absent
4115,2025-04-06,Present
486,2025-07-07,Present
860,2025-06-11,Present
697,2025-06-08,Absent
3060,2025-06-23,Absent
2237,2025-03-31,Present
3907,2025-03-02,Absent
1163,2025-10-10,Absent
678,2025-01-01,Present
4479,2025-06-02,Absent
1346,2025-02-21,Absent
105,2025-08-06,Present
1278,2025-08-15,Present
3972,2025-06-05,Absent
1894,2025-06-29,Absent
1271,2025-06-20,Present
2984,2025-07-22,Present
2538,2025-09-10,Present
2415,2025-06-05,Present
4576,2025-08-03,Absent
1916,2025-03-24,Absent
3734,2025-04-14,Present
3497,2025-07-07,Present
2607,2025-10-11,Absent
4536,2025-08-05,Absent
2188,2025-01-07,Present
4422,2025-07-29,Present
4756,2025-10-02,Absent
4684,2025-07-01,Absent
3300,2025-10-14,Present
791,2025-07-09,Absent
1669,2025-06-27,Absent
4723,2025-04-02,Absent
2662,2025-03-06,Present
2384,2025-09-15,Absent
2334,2025-01-31,Present
3143,2025-06-18,Absent
3165,2025-09-04,Present
2094,2025-04-16,Present
4148,2025-10-25,Absent
2691,2025-02-11,Absent
4532,2025-08-11,Present
2885,2025-08-29,Present
1129,2025-10-15,Present
2110,2025-04-07,Absent
1538,2025-05-21,Absent
2304,2025-07-24,Absent
2633,2025-07-30,Absent
2275,2025-08-13,Present
598,2025-05-22,Present
1582,2025-07-10,Present
2053,2025-09-28,Absent
762,2025-01-31,Absent
3757,2025-06-27,Absent
1536,2025-05-16,Absent
2456,2025-06-17,Present
4314,2025-02-02,Present
700,2025-05-10,Present
2819,2025-02-26,Absent
4802,2025-06-05,Absent
2128,2025-03-07,Present
778,2025-08-24,Absent
4865,2025-06-16,Absent
352,2025-08-17,Absent
3237,2025-07-06,Absent
640,2025-02-14,Present
2450,2025-01-11,Present
3055,2025-03-20,Absent
3994,2025-11-02,Absent
1898,2025-07-09,Present
2087,2025-10-13,Present
1657,2025-05-21,Absent
4562,2025-10-26,Absent
3927,2025-08-06,Present
1966,2025-03-27,Absent
4528,2025-05-26,Present
3491,2025-03-21,Absent
1865,2025-05-20,Present
2932,2025-06-17,Present
1714,2025-02-21,Present
823,2025-06-13,Absent
1843,2025-02-11,Present
2877,2025-06-19,Present
2297,2025-03-28,Present
1721,2025-03-27,Present
1307,2025-05-23,Absent
1836,2025-01-16,Present
2826,2025-04-11,Absent
2978,2025-04-15,Absent
4852,2025-03-08,Absent
2043,2025-08-01,Present
4622,2025-04-07,Present
1714,2025-05-29,Present
1740,2025-06-03,Present
3893,2025-10-11,Absent
3345,2025-10-09,Absent
1361,2025-09-20,Present
1326,2025-10-25,Present
1682,2025-10-22,Present
401,2025-01-17,Absent
3000,2025-04-24,Present
2733,2025-04-06,Present
4589,2025-01-23,Present
3401,2025-10-03,Present
507,2025-10-17,Present
3119,2025-10-12,Absent
4596,2025-05-21,Absent
3572,2025-03-24,Absent
3352,2025-05-28,Absent
4259,2025-10-16,Present
1476,2025-10-21,Absent
782,2025-10-03,Present
1724,2025-09-09,Absent
2000,2025-04-29,Present
2162,2025-10-04,Absent
575,2025-06-28,Absent
2619,2025-03-25,Present
2967,2025-04-25,Present
159,2025-07-25,Absent
1645,2025-09-12,Absent
1563,2025-05-05,Absent
3836,2025-02-28,Absent
77,2025-08-03,Present
4956,2025-11-03,Present
1270,2025-03-15,Absent
4227,2025-01-28,Absent
4012,2025-10-21,Present
505,2025-03-07,Absent
4941,2025-01-24,Present
3866,2025-04-19,Present
4050,2025-11-02,Absent
431,2025-03-13,Absent
4430,2025-05-13,Absent
1248,2025-02-13,Absent
3927,2025-06-27,Present
3126,2025-04-18,Absent
4707,2025-01-01,Absent
1953,2025-08-02,Absent
1027,2025-06-27,Present
1654,2025-09-08,Absent
2067,2025-07-31,Absent
3841,2025-08-15,Absent
568,2025-01-03,Absent
178,2025-03-28,Absent
923,2025-06-08,Present
802,2025-01-07,Absent
2653,2025-01-02,Absent
2365,2025-07-31,Absent
3082,2025-08-07,Absent
3316,2025-02-27,Absent
439,2025-09-11,Present
1061,2025-05-01,Present
1554,2025-04-19,Absent
2302,2025-08-20,Present
766,2025-04-25,Present
2022,2025-08-09,Absent
3608,2025-09-20,Present
4112,2025-10-22,Absent
266,2025-03-01,Absent
3034,2025-04-24,Absent
3792,2025-10-18,Absent
1060,2025-10-31,Present
1568,2025-01-28,Present
2588,2025-08-30,Present
3190,2025-07-08,Present
4442,2025-02-26,Present
2383,2025-04-01,Present
2473,2025-07-08,Present
1079,2025-06-02,Present
3554,2025-09-08,Absent
362,2025-06-12,Absent
1278,2025-07-26,Present
4324,2025-08-24,Absent
542,2025-09-14,Present
363,2025-01-19,Absent
943,2025-07-15,Absent
2589,2025-05-12,Present
669,2025-05-10,Absent
3945,2025-03-10,Present
4104,2025-06-23,Present
3889,2025-08-22,Absent
3896,2025-05-02,Present
1563,2025-10-11,Present
3770,2025-07-31,Absent
2985,2025-10-09,Absent
1288,2025-06-23,Absent
1436,2025-10-22,Absent
4869,2025-06-09,Present
728,2025-10-13,Absent
1709,2025-10-10,Absent
297,2025-08-14,Absent
2613,2025-06-20,Absent
258,2025-11-02,Absent
2944,2025-04-21,Present
1566,2025-02-17,Present
1936,2025-09-09,Present
1361,2025-02-11,Absent
3987,2025-07-09,Present
2716,2025-07-02,Absent
274,2025-07-12,Present
4609,2025-08-21,Absent
3059,2025-09-27,Absent
4765,2025-06-20,Absent
4710,2025-07-01,Absent
3808,2025-07-31,Absent
3013,2025-06-08,Present
1931,2025-03-04,Present
1319,2025-05-04,Present
3061,2025-10-11,Present
4591,2025-03-10,Absent
2729,2025-07-01,Present
3542,2025-10-10,Present
1943,2025-07-05,Present
4341,2025-05-13,Absent
393,2025-07-22,Present
2686,2025-07-29,Absent
4344,2025-10-18,Present
1805,2025-02-17,Present
778,2025-06-16,Absent
1221,2025-09-22,Absent
970,2025-10-16,Absent
400,2025-08-19,Absent
441,2025-08-23,Absent
2570,2025-06-17,Absent
2662,2025-06-26,Present
4130,2025-06-02,Absent
675,2025-04-12,Absent
4191,2025-02-16,Absent
1432,2025-05-08,Present
1568,2025-06-03,Absent
128,2025-09-25,Absent
1174,2025-10-28,Present
1817,2025-10-11,Present
2070,2025-07-04,Present
4120,2025-10-28,Present
4737,2025-10-01,Present
4502,2025-07-06,Absent
1027,2025-03-23,Present
1584,2025-01-13,Absent
1275,2025-11-10,Absent
1431,2025-06-16,Present
3983,2025-03-19,Absent
2692,2025-01-02,Present
3720,2025-08-31,Present
2132,2025-09-21,Present
505,2025-09-29,Present
537,2025-03-27,Present
227,2025-01-22,Present
4826,2025-11-03,Absent
903,2025-05-03,Present
3275,2025-09-09,Present
3564,2025-11-07,Present
3660,2025-04-10,Present
133,2025-07-14,Absent
2203,2025-07-04,Absent
3187,2025-07-20,Absent
3978,2025-03-26,Absent
4619,2025-08-13,Absent
2874,2025-07-15,Absent
4108,2025-03-25,Present
3202,2025-04-18,Absent
1480,2025-07-07,Absent
59,2025-08-26,Absent
2344,2025-03-03,Present
3240,2025-05-07,Present
903,2025-04-03,Present
1050,2025-08-22,Absent
482,2025-01-21,Absent
2264,2025-03-14,Absent
3422,2025-05-09,Absent
684,2025-05-11,Present
571,2025-10-20,Absent
1948,2025-07-22,Present
4724,2025-01-01,Present
1944,2025-09-23,Present
3884,2025-04-27,Present
3982,2025-07-31,Absent
3601,2025-11-01,Present
1788,2025-10-21,Present
2200,2025-03-04,Present
3117,2025-06-15,Absent
1593,2025-04-08,Present
2480,2025-06-20,Present
1997,2025-07-22,Absent
911,2025-07-22,Present
166,2025-04-07,Absent
4080,2025-02-05,Absent
297,2025-06-26,Present
4733,2025-06-25,Absent
290,2025-07-04,Present
567,2025-03-20,Absent
2121,2025-01-10,Present
3031,2025-10-05,Absent
1877,2025-04-09,Absent
2862,2025-09-19,Present
2711,2025-07-17,Present
2484,2025-03-20,Present
4672,2025-06-21,Present
2568,2025-04-20,Absent
24,2025-05-18,Absent
4739,2025-09-26,Present
4861,2025-11-03,Present
1200,2025-07-31,Present
3762,2025-06-02,Present
3350,2025-05-21,Present
4211,2025-04-07,Absent
4352,2025-10-13,Present
4651,2025-06-23,Present
4711,2025-05-02,Absent
1027,2025-01-20,Present
2838,2025-01-24,Present
617,2025-01-01,Present
2242,2025-07-25,Present
1865,2025-05-31,Absent
810,2025-10-29,Absent
2741,2025-02-09,Absent
4193,2025-04-20,Present
188,2025-04-12,Present
2190,2025-03-10,Absent
4203,2025-02-24,Present
4805,2025-02-27,Present
2031,2025-03-28,Absent
1601,2025-06-20,Absent
1913,2025-07-03,Absent
2780,2025-10-09,Absent
3907,2025-08-04,Present
671,2025-06-08,Present
467,2025-09-06,Present
3411,2025-01-04,Present
1985,2025-03-29,Absent
3453,2025-11-02,Present
1440,2025-11-07,Absent
569,2025-02-25,Absent
3218,2025-01-07,Absent
1352,2025-02-19,Absent
4175,2025-02-05,Absent
3670,2025-10-18,Absent
1468,2025-07-09,Present
4232,2025-10-06,Absent
1975,2025-02-18,Absent
784,2025-10-16,Absent
4562,2025-06-13,Present
811,2025-06-11,Absent
2271,2025-05-22,Present
1121,2025-09-20,Absent
4520,2025-08-22,Present
4662,2025-08-12,Absent
4415,2025-07-17,Present
389,2025-09-28,Absent
1373,2025-02-19,Present
1626,2025-02-04,Present
4570,2025-10-10,Absent
4227,2025-02-22,Present
2534,2025-04-04,Present
1999,2025-04-28,Absent
3900,2025-03-03,Present
3297,2025-10-16,Present
273,2025-08-15,Absent
2607,2025-06-16,Present
4285,2025-08-04,Absent
4261,2025-06-11,Absent
3166,2025-07-08,Present
695,2025-07-18,Absent
2789,2025-03-21,Present
2327,2025-09-02,Absent
1098,2025-06-14,Present
1137,2025-03-08,Absent
976,2025-08-30,Absent
2515,2025-06-18,Absent
4359,2025-09-29,Absent
2581,2025-09-16,Present
4345,2025-07-06,Present
2638,2025-01-14,Absent
1357,2025-09-08,Absent
2976,2025-01-28,Absent
3945,2025-05-13,Present
4241,2025-02-26,Absent
2389,2025-06-05,Present
2472,2025-09-17,Absent
3867,2025-05-29,Absent
1545,2025-09-07,Absent
3311,2025-08-13,Present
3025,2025-02-20,Absent
4189,2025-06-28,Absent
1896,2025-04-15,Absent
2057,2025-06-05,Present
2697,2025-05-09,Present
2681,2025-09-26,Absent
4932,2025-09-02,Absent
2967,2025-08-17,Absent
4718,2025-01-13,Present
2675,2025-09-13,Absent
2488,2025-09-25,Present
108,2025-09-05,Present
3627,2025-05-08,Absent
2882,2025-07-14,Present
1205,2025-04-01,Present
4764,2025-08-28,Present
308,2025-04-07,Present
4564,2025-08-16,Absent
2846,2025-02-03,Absent
151,2025-01-28,Present
116,2025-02-03,Present
3805,2025-02-23,Absent
4301,2025-04-08,Present
4520,2025-09-23,Present
3664,2025-02-12,Absent
3057,2025-01-06,Present
1686,2025-10-25,Present
3135,2025-06-04,Absent
3453,2025-01-17,Absent
952,2025-07-01,Present
2446,2025-05-06,Present
3715,2025-06-07,Absent
1453,2025-03-07,Present
1405,2025-03-18,Absent
1813,2025-09-22,Present
3344,2025-10-18,Present
328,2025-06-06,Absent
44,2025-02-01,Present
2812,2025-01-23,Absent
255,2025-05-08,Present
3008,2025-10-16,Absent
1299,2025-02-12,Absent
3653,2025-02-05,Absent
3948,2025-11-09,Present
879,2025-03-02,Present
2833,2025-06-17,Present
1221,2025-08-18,Present
3660,2025-06-20,Present
741,2025-06-26,Present
4632,2025-05-09,Absent
2676,2025-07-16,Present
2160,2025-04-16,Absent
2465,2025-06-23,Present
306,2025-08-11,Absent
1942,2025-02-11,Present
820,2025-07-29,Absent
3124,2025-05-19,Present
3924,2025-08-13,Absent
3133,2025-05-03,Present
2883,2025-02-21,Absent
4072,2025-05-25,Present
575,2025-09-26,Present
1612,2025-01-08,Absent
4086,2025-02-16,Absent
67,2025-02-23,Absent
4144,2025-04-01,Absent
3721,2025-04-12,Present
2432,2025-01-03,Absent
518,2025-08-16,Absent
1837,2025-01-11,Present
3731,2025-02-28,Present
561,2025-03-01,Absent
635,2025-10-17,Present
670,2025-06-18,Absent
1965,2025-06-20,Absent
1703,2025-06-25,Present
177,2025-10-28,Present
2059,2025-10-16,Present
4162,2025-01-09,Absent
4301,2025-05-27,Absent
42,2025-05-23,Absent
2711,2025-11-06,Present
1624,2025-02-24,Absent
4690,2025-08-13,Present
1209,2025-10-23,Present
978,2025-09-18,Absent
2924,2025-03-22,Present
247,2025-08-30,Present
4573,2025-03-29,Absent
4747,2025-09-27,Absent
720,2025-04-08,Present
3726,2025-04-05,Absent
3330,2025-01-25,Present
1545,2025-07-24,Absent
3531,2025-09-13,Absent
3435,2025-09-14,Present
4591,2025-02-14,Present
1305,2025-04-20,Present
3712,2025-10-27,Present
2912,2025-11-09,Present
4276,2025-05-22,Absent
609,2025-07-29,Absent
4617,2025-01-08,Present
4067,2025-04-18,Present
1876,2025-07-19,Present
4494,2025-11-09,Absent
3846,2025-05-22,Present
1914,2025-10-14,Present
2138,2025-10-16,Present
4645,2025-09-02,Absent
2437,2025-03-18,Absent
3448,2025-01-28,Present
4665,2025-06-20,Absent
4686,2025-04-19,Absent
4377,2025-04-12,Present
440,2025-09-15,Present
3098,2025-08-05,Absent
3501,2025-06-07,Present
261,2025-05-27,Present
2136,2025-09-20,Present
4534,2025-04-18,Absent
4926,2025-02-07,Present
4041,2025-02-20,Absent
4466,2025-09-05,Present
1739,2025-08-20,Absent
2592,2025-04-16,Absent
4125,2025-06-10,Present
3736,2025-10-01,Absent
266,2025-08-03,Present
2365,2025-03-07,Present
3872,2025-09-18,Absent
3586,2025-07-05,Absent
2447,2025-05-09,Absent
1961,2025-06-14,Present
966,2025-08-26,Absent
2284,2025-08-22,Absent
952,2025-08-12,Absent
801,2025-06-24,Absent
3881,2025-04-27,Absent
3809,2025-10-17,Present
1042,2025-05-30,Present
4337,2025-10-31,Present
2,2025-06-26,Absent
4652,2025-10-13,Present
2348,2025-08-25,Absent
2353,2025-09-13,Absent
4215,2025-08-11,Absent
1099,2025-08-05,Present
1704,2025-06-27,Absent
1436,2025-07-01,Present
4566,2025-06-20,Absent
3841,2025-07-10,Present
4381,2025-07-28,Present
3687,2025-06-25,Absent
3422,2025-05-23,Absent
4097,2025-04-01,Absent
2524,2025-04-03,Absent
3009,2025-08-02,Absent
1450,2025-05-02,Present
2604,2025-04-27,Absent
3644,2025-10-06,Absent
1139,2025-03-18,Present
1329,2025-01-07,Absent
2746,2025-07-22,Present
2264,2025-05-10,Absent
3730,2025-06-30,Present
4167,2025-01-30,Absent
4963,2025-08-22,Present
1096,2025-10-25,Absent
4514,2025-09-25,Present
326,2025-08-05,Present
